Wed Jan 13 17:00:20 2021 [R] : 0.5150789534625039, [LC] : 0, [DC] : -2.637548731456021
Wed Jan 13 17:00:20 2021 [R] : 0.5216501120291365, [LC] : 0, [DC] : -2.4695312302993147
Wed Jan 13 17:00:32 2021 [R] : 0.5300851144007428, [LC] : 0, [DC] : -0.8003108023385113
Wed Jan 13 17:00:54 2021 [R] : 0.45142345053588895, [LC] : 0, [DC] : -18.838834410628518
Wed Jan 13 17:00:54 2021 [R] : 0.5276144125707165, [LC] : 0, [DC] : -0.7837933083001967
Wed Jan 13 17:01:03 2021 [R] : 0.5018343430910625, [LC] : 0, [DC] : -7.232008401785416
Wed Jan 13 17:01:03 2021 [R] : 0.4957130518209367, [LC] : 0, [DC] : -8.225398277575556
Wed Jan 13 17:01:03 2021 [R] : 0.47411720587340134, [LC] : 0, [DC] : -13.898195386311821
Wed Jan 13 17:01:04 2021 [R] : 0.527098738233678, [LC] : 0, [DC] : -0.8513701787105656
Wed Jan 13 17:01:04 2021 [R] : 0.5304988885918399, [LC] : 0, [DC] : -0.26436148510456525
Wed Jan 13 17:01:04 2021 [R] : 0.5176211888729667, [LC] : 0, [DC] : -3.54671763239209
Wed Jan 13 17:01:04 2021 [R] : 0.510718393808046, [LC] : 0, [DC] : -5.490006753411292
Wed Jan 13 17:01:04 2021 [R] : 0.5228404412269685, [LC] : 0, [DC] : -1.800020601495493
Wed Jan 13 17:01:37 2021 [R] : 0.5315902497727396, [LC] : 0, [DC] : -0.14572249262928505
Wed Jan 13 17:01:37 2021 [R] : 0.4645360798046809, [LC] : 0, [DC] : -15.948854659500338
Wed Jan 13 17:01:38 2021 [R] : 0.52665135299509, [LC] : 0, [DC] : -1.1158697945647384
Wed Jan 13 17:01:46 2021 [R] : 0.5314043763877303, [LC] : 0, [DC] : -0.24491057598623134
Wed Jan 13 17:01:46 2021 [R] : 0.5139047011330067, [LC] : 0, [DC] : -3.561596018089774
Wed Jan 13 17:01:46 2021 [R] : 0.42619402402267886, [LC] : 0, [DC] : -62.98779787845241
Wed Jan 13 17:01:47 2021 [R] : 0.5283755493057104, [LC] : 0, [DC] : -0.1531871381147738
Wed Jan 13 17:01:47 2021 [R] : 0.5156646258095603, [LC] : 0, [DC] : -4.313212058904433
Wed Jan 13 17:01:47 2021 [R] : 0.49579596195785025, [LC] : 0, [DC] : -7.652518988589497
Wed Jan 13 17:02:06 2021 [R] : 0.530354645208937, [LC] : 0, [DC] : -0.10513039935752766
Wed Jan 13 17:02:07 2021 [R] : 0.3593526811110174, [LC] : 0, [DC] : -0.1091556884360605
Wed Jan 13 17:02:07 2021 [R] : 0.5054725326638457, [LC] : 0, [DC] : -6.579007427909456
Wed Jan 13 17:02:07 2021 [R] : 0.5246496546922339, [LC] : 0, [DC] : -0.07839845180655036
Wed Jan 13 17:02:08 2021 [R] : 0.4895937308761296, [LC] : 0, [DC] : -10.664385784387662
Wed Jan 13 17:02:08 2021 [R] : 0.46427755136845034, [LC] : 0, [DC] : -16.88796089660197
Wed Jan 13 17:02:08 2021 [R] : 0.426406483898136, [LC] : 0, [DC] : -127.5975308175058
Wed Jan 13 17:02:08 2021 [R] : 0.4866899704499629, [LC] : 0, [DC] : -11.270878411610056
Wed Jan 13 17:02:08 2021 [R] : 0.4152582260634849, [LC] : 0, [DC] : -1405.005690450051
Wed Jan 13 17:02:09 2021 [R] : 0.4277142660633793, [LC] : 0, [DC] : -136.14778240408063
Wed Jan 13 17:02:09 2021 [R] : 0.4998256345121846, [LC] : 0, [DC] : -5.095776647901522
Wed Jan 13 17:02:09 2021 [R] : 0.42691360480697454, [LC] : 0, [DC] : -32.22287905324226
Wed Jan 13 17:02:09 2021 [R] : 0.5197256158444408, [LC] : 0, [DC] : -2.885488884905749
Wed Jan 13 17:02:10 2021 [R] : 0.42422677813520077, [LC] : 0, [DC] : -2723.577029832788
Wed Jan 13 17:02:29 2021 [R] : 0.5264402712001771, [LC] : 0, [DC] : -1.6687323263704603
Wed Jan 13 17:02:29 2021 [R] : 0.5302399479545449, [LC] : 0, [DC] : -0.18267810169974386
Wed Jan 13 17:02:30 2021 [R] : 0.527738026070088, [LC] : 0, [DC] : -1.2982544539930365
Wed Jan 13 17:02:30 2021 [R] : 0.5273996024442336, [LC] : 0, [DC] : -0.1600631634727092
Wed Jan 13 17:02:31 2021 [R] : 0.42983817237148486, [LC] : 0, [DC] : -52.87003993124755
Wed Jan 13 17:02:31 2021 [R] : 0.43245840325805424, [LC] : 0, [DC] : -139.2559220670432
Wed Jan 13 17:02:31 2021 [R] : 0.5152041067018198, [LC] : 0, [DC] : -2.5570514488225884
Wed Jan 13 17:02:31 2021 [R] : 0.5244243538575476, [LC] : 0, [DC] : -1.5610826158936542
Wed Jan 13 17:02:53 2021 [R] : 0.5217225740044966, [LC] : 0, [DC] : -2.267000265076195
Wed Jan 13 17:02:59 2021 [R] : 0.49658920565000547, [LC] : 0, [DC] : -8.420589850563992
Wed Jan 13 17:02:59 2021 [R] : 0.48433018566647557, [LC] : 0, [DC] : -11.054301647139377
Wed Jan 13 17:02:59 2021 [R] : 0.5152852111572731, [LC] : 0, [DC] : -2.3885270758971706
Wed Jan 13 17:03:00 2021 [R] : 0.42949696251842984, [LC] : 0, [DC] : -42.30722293789297
Wed Jan 13 17:03:00 2021 [R] : 0.417909978553294, [LC] : 0, [DC] : -500.25463666927556
Wed Jan 13 17:03:00 2021 [R] : 0.4784484879247597, [LC] : 0, [DC] : -9.22286279466229
Wed Jan 13 17:03:00 2021 [R] : 0.5026314790307571, [LC] : 0, [DC] : -6.416923558341883
Wed Jan 13 17:03:00 2021 [R] : 0.5213651002948699, [LC] : 0, [DC] : -1.6735057648190872
Wed Jan 13 17:03:11 2021 [R] : 0.531802109209962, [LC] : 0, [DC] : -0.03709466488776125
Wed Jan 13 17:03:12 2021 [R] : 0.5140288728410303, [LC] : 0, [DC] : -3.5951744303261863
Wed Jan 13 17:03:12 2021 [R] : 0.5122975494078928, [LC] : 0, [DC] : -3.0014606621826845
Wed Jan 13 17:03:12 2021 [R] : 0.4284812040583022, [LC] : 0, [DC] : -31.329603022199635
Wed Jan 13 17:03:12 2021 [R] : 0.5123844599159979, [LC] : 0, [DC] : -0.42610662358471707
Wed Jan 13 17:03:12 2021 [R] : 0.524478594446156, [LC] : 0, [DC] : -0.49269103292024763
Wed Jan 13 17:03:12 2021 [R] : 0.5149106940229004, [LC] : 0, [DC] : -3.8749083870071663
Wed Jan 13 17:03:12 2021 [R] : 0.425568814581672, [LC] : 0, [DC] : -26.27243532453921
Wed Jan 13 17:03:13 2021 [R] : 0.5056679388590035, [LC] : 0, [DC] : -2.977018783708262
Wed Jan 13 17:03:13 2021 [R] : 0.427351596083706, [LC] : 0, [DC] : -32.17528648378266
Wed Jan 13 17:03:21 2021 [R] : 0.5330417937429135, [LC] : 0, [DC] : -0.18338894106284576
Wed Jan 13 17:03:22 2021 [R] : 0.5324431622818219, [LC] : 0, [DC] : -0.096633224188863
Wed Jan 13 17:03:22 2021 [R] : 0.5196635994995816, [LC] : 0, [DC] : -2.2375999463344924
